"horizon","n_results","n_cohorts","d11_3_consequence","sample_status","generated"
"t12m",3,3,"model permitted, small-k and prior-sensitivity qualifications required","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m",0,0,"no estimate","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m",0,0,"no estimate","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m",2,2,"model permitted, small-k and prior-sensitivity qualifications required","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
