"horizon","analysis","label","n_results","n_cohorts","identical_to_primary","cohorts","sample_status","generated"
"t12m","unclear_selection_included","Cohorts with unclear employment selection admitted",4,4,FALSE,"headspace_hep_fep_au;pafip_spain;pune_private;pune_public","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t12m","trial_derived_excluded","All trial-derived cohorts excluded",3,3,TRUE,"headspace_hep_fep_au;pune_private;pune_public","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","unclear_selection_included","Cohorts with unclear employment selection admitted",0,0,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t24m","trial_derived_excluded","All trial-derived cohorts excluded",0,0,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","unclear_selection_included","Cohorts with unclear employment selection admitted",0,0,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t60m","trial_derived_excluded","All trial-derived cohorts excluded",0,0,TRUE,"","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m","unclear_selection_included","Cohorts with unclear employment selection admitted",2,2,TRUE,"pepp_ontario_1997;pku_beijing","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
"t120m","trial_derived_excluded","All trial-derived cohorts excluded",2,2,TRUE,"pepp_ontario_1997;pku_beijing","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-08-13"
