"horizon","dropped_cohort_id","result_id","fit_id","n_employed","n_outcome_observed","observed","predictive_lo","predictive_hi","ppc_p_two_sided","form","analysis_status","sample_status","result_status"
"t120m","carstairs_1992","thomson2023_cohort_t240m_paidany","prevalence_t120m_loco_carstairs_1992",0,56,0,0.125,0.714285714285714,0.001,"new_cohort, fitted without this cohort","POST HOC: prompted by prior-data conflict and posterior predictive misfit in the provisional fit of 23 September 2026 (deviation D15); does not replace the prespecified primary","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","pepp_ontario_1997","bhullar2018_cohort_t120m_paidany","prevalence_t120m_loco_pepp_ontario_1997",35,65,0.538461538461538,0,0.707692307692308,0.146833333333333,"new_cohort, fitted without this cohort","POST HOC: prompted by prior-data conflict and posterior predictive misfit in the provisional fit of 23 September 2026 (deviation D15); does not replace the prespecified primary","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","pku_beijing","xu2020_cohort_t125m_paidany","prevalence_t120m_loco_pku_beijing",23,62,0.370967741935484,0,0.790322580645161,0.497,"new_cohort, fitted without this cohort","POST HOC: prompted by prior-data conflict and posterior predictive misfit in the provisional fit of 23 September 2026 (deviation D15); does not replace the prespecified primary","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
