"horizon","horizon_label","analysis","label","identical_to_primary","n_cohorts_bounded","k_cohorts","n_results","method","estimate","interval_prob","interval_type","interval_lo","interval_hi","predictive_new_cohort_lo","predictive_new_cohort_hi","tau_median","tau_lo","tau_hi","small_k","prior_sensitivity_required","note","sample_status","result_status"
"t12m","12 months (observed 12 months)","unclear_selection_included","Cohorts with unclear employment selection admitted",FALSE,NA,3,3,"Bayesian binomial-logit random-effects (brms), posterior median",0.404314934186082,0.95,"equal_tailed",0.221795725591512,0.579653416710364,0.0980694280329669,0.776719186539225,0.711031,0.387417525,1.29474325,TRUE,TRUE,"small k (3 < 10): tau is largely prior-driven; read with prior_sensitivity.csv","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","12 months (observed 12 months)","trial_derived_excluded","All trial-derived cohorts excluded",TRUE,NA,2,2,"Bayesian binomial-logit random-effects (brms), posterior median",0.528433540307061,0.95,"equal_tailed",0.294578926815858,0.658817508594055,0.172907332667408,0.77713458843119,0.429865,0.087505025,1.10977475,TRUE,TRUE,"identical data to the primary pool; the primary fit is reported; small k (2 < 10): tau is largely prior-driven; read with prior_sensitivity.csv","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","12 months (observed 12 months)","missing_outcome_worst","unobserved alive-and-eligible participants all unemployed",TRUE,0,2,2,"Bayesian binomial-logit random-effects (brms), posterior median",0.528433540307061,0.95,"equal_tailed",0.294578926815858,0.658817508594055,0.172907332667408,0.77713458843119,0.429865,0.087505025,1.10977475,TRUE,TRUE,"identical data to the primary pool; the primary fit is reported; small k (2 < 10): tau is largely prior-driven; read with prior_sensitivity.csv","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t12m","12 months (observed 12 months)","missing_outcome_best","unobserved alive-and-eligible participants all employed",TRUE,0,2,2,"Bayesian binomial-logit random-effects (brms), posterior median",0.528433540307061,0.95,"equal_tailed",0.294578926815858,0.658817508594055,0.172907332667408,0.77713458843119,0.429865,0.087505025,1.10977475,TRUE,TRUE,"identical data to the primary pool; the primary fit is reported; small k (2 < 10): tau is largely prior-driven; read with prior_sensitivity.csv","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","10 years or more (observed 120 to 240 months)","unclear_selection_included","Cohorts with unclear employment selection admitted",TRUE,NA,3,3,"Bayesian binomial-logit random-effects (brms), posterior median",0.225946980681985,0.95,"equal_tailed",0.093770204969603,0.450765888195301,0.0231505262291038,0.778295377156154,1.09815,0.656115625,1.722613,TRUE,TRUE,"identical data to the primary pool; the primary fit is reported; small k (3 < 10): tau is largely prior-driven; read with prior_sensitivity.csv","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","10 years or more (observed 120 to 240 months)","trial_derived_excluded","All trial-derived cohorts excluded",TRUE,NA,3,3,"Bayesian binomial-logit random-effects (brms), posterior median",0.225946980681985,0.95,"equal_tailed",0.093770204969603,0.450765888195301,0.0231505262291038,0.778295377156154,1.09815,0.656115625,1.722613,TRUE,TRUE,"identical data to the primary pool; the primary fit is reported; small k (3 < 10): tau is largely prior-driven; read with prior_sensitivity.csv","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","10 years or more (observed 120 to 240 months)","missing_outcome_worst","unobserved alive-and-eligible participants all unemployed",FALSE,1,3,3,"Bayesian binomial-logit random-effects (brms), posterior median",0.186145193544966,0.95,"equal_tailed",0.0789166903122095,0.370288016298409,0.0226348788077847,0.682464069456296,0.9585095,0.499912325,1.5882715,TRUE,TRUE,"small k (3 < 10): tau is largely prior-driven; read with prior_sensitivity.csv","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
"t120m","10 years or more (observed 120 to 240 months)","missing_outcome_best","unobserved alive-and-eligible participants all employed",FALSE,1,3,3,"Bayesian binomial-logit random-effects (brms), posterior median",0.264414273334298,0.95,"equal_tailed",0.104555099568561,0.508983463116863,0.0203233728734231,0.849064762851029,1.25579,0.823907225,1.851222,TRUE,TRUE,"small k (3 < 10): tau is largely prior-driven; read with prior_sensitivity.csv","DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","PROVISIONAL, PRE-FREEZE - NOT FOR CITATION"
